exp_id,fish_id,t,x,y,timestep,x_translated,y_translated,u,v,u_translated,v_translated
475,1,1.08,0.1959,0.1075,0,1.1959,1.1075,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
475,1,2.16,0.2286,0.1092,1,1.2286,1.1092,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
475,1,3.04,0.2522,0.0125,2,1.2522,1.0125,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
475,1,4.28,0.2202,-0.0921,3,1.2202,0.9079,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
475,1,4.72,0.1821,-0.119,4,1.1821,0.881,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
475,1,5.2,0.1388,-0.1364,5,1.1388,0.8636,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
475,1,5.56,0.115,-0.1609,6,1.115,0.8391,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
475,1,6.2,0.0549,-0.1869,7,1.0549,0.8130999999999999,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
475,1,7.16,0.0112,-0.1884,8,1.0112,0.8116,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
475,1,7.6,0.009,-0.1883,9,1.009,0.8117,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
475,1,8.24,0.004,-0.1882,10,1.004,0.8118,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
475,1,8.8,-0.0004,-0.1865,11,0.9996,0.8135,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
475,1,10.0,-0.0892,-0.1329,12,0.9108,0.8671,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
475,1,10.44,-0.1117,-0.0846,13,0.8883,0.9154,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
